generation,genome_hash,fidelity,family,horizon,n_features,score,sharpe_prevault,n_days,data_hash,panel_hash,config_hash,platform,parent_hash,birth_gen
6,bc713e633938,F0,seasonal_rule,63,0,0.8580008881536566,0.8580008881536566,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,db5483efbf03+db5483efbf03,6
6,07c8d25b5198,F0,seasonal_rule,63,0,0.8017224350040207,0.8017224350040207,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,6
6,91b50d036710,F0,seasonal_rule,10,0,0.7938108430209043,0.7938108430209043,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,5829e4120470,6
6,ecc23573d0c4,F0,seasonal_rule,63,0,-0.38256399710917705,-0.38256399710917705,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,5829e4120470,6
6,be9a567a4c2a,F0,seasonal_rule,63,0,0.7058218347215113,0.7058218347215113,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738,6
6,ff00ff0df08a,F0,seasonal_rule,63,0,-0.6102534360896125,-0.6102534360896125,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,db5483efbf03+db5483efbf03,6
6,485c9861de05,F0,mom_rule,21,0,-0.18694838191677268,-0.18694838191677268,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,,6
6,e88d7a73c51b,F0,hgb,5,11,-0.7980809722438768,-0.6880809722438768,3245,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,,6
6,cdbcd28ef885,F0,meanrev_rule,5,0,-0.1412511943584399,-0.1412511943584399,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,,6
6,5829e4120470,F1,seasonal_rule,63,0,0.9903309726583345,0.9903309726583345,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
6,bc713e633938,F1,seasonal_rule,63,0,1.0786560960413727,1.0786560960413727,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,db5483efbf03+db5483efbf03,6
6,07c8d25b5198,F1,seasonal_rule,63,0,0.9694804157941797,0.9694804157941797,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,6
6,91b50d036710,F1,seasonal_rule,10,0,0.9911531903300633,0.9911531903300633,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,5829e4120470,6
6,2caf8739fbee,F1,seasonal_rule,63,0,0.9890401891134513,0.9890401891134513,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
6,db5483efbf03,F1,seasonal_rule,63,0,1.0278927246573677,1.0278927246573677,5285,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,5
7,bc713e633938,F0,seasonal_rule,63,0,0.8580008881536566,0.8580008881536566,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,db5483efbf03+db5483efbf03,6
7,db5483efbf03,F0,seasonal_rule,63,0,0.731839778802117,0.731839778802117,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,2caf8739fbee,5
7,91b50d036710,F0,seasonal_rule,10,0,0.7938108430209043,0.7938108430209043,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,5829e4120470,6
7,e05664bd4068,F0,seasonal_rule,63,0,0.7472143687722775,0.7472143687722775,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,db5483efbf03,7
7,de8bfdd03738,F0,seasonal_rule,63,0,0.7719156164494944,0.7719156164494944,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,5829e4120470,7
7,092386cf3a56,F0,seasonal_rule,10,0,0.731839778802117,0.731839778802117,3772,32b2794bf67698d4,6456a375fd5fd8da,08e08b3bdbf78812,x86_64linux,db5483efbf03+91b50d036710,7
